ngay_dat_mua,ma_don_hang,khach_hang,tong_gia_tri_hang
5/4/19,CA-2019-117709,Paul MacIntyre,47
9/7/19,CA-2019-117765,Rick Bensley,644
1/14/19,CA-2019-118192,Michael Moore,41
12/29/19,CA-2019-118276,Michael Granlund,9
4/29/19,CA-2019-118304,Katherine Hughes,20
3/17/19,CA-2019-118339,Bradley Nguyen,250
8/5/19,CA-2019-118962,Chad Sievert,472
4/28/19,CA-2019-118976,Muhammed Yedwab,527
11/27/19,CA-2019-119032,Maxwell Schwartz,4
11/16/19,CA-2019-119144,Justin Deggeller,731
11/25/19,CA-2019-119151,Mike Pelletier,1394
5/11/19,CA-2019-119172,Harold Dahlen,122
11/17/19,CA-2019-119375,Yoseph Carroll,3116
12/15/19,CA-2019-119466,Sung Pak,9
11/3/19,CA-2019-119529,Denise Monton,6
10/8/19,CA-2019-119977,Duane Noonan,124
7/4/19,CA-2019-120096,Katrina Edelman,210
12/27/19,CA-2019-120243,Alyssa Tate,12
11/7/19,CA-2019-120278,Maribeth Schnelling,317
9/20/19,CA-2019-120411,Sarah Brown,505
8/24/19,CA-2019-120432,Dorothy Wardle,26
12/1/19,CA-2019-120474,Resi P�lking,2854
11/23/19,CA-2019-120544,Saphhira Shifley,46
11/2/19,CA-2019-120670,Julie Kriz,800
12/19/19,CA-2019-120768,Irene Maddox,1980
10/3/19,CA-2019-120775,Russell D'Ascenzo,58
3/23/19,CA-2019-120838,Patrick O'Donnell,935
12/20/19,CA-2019-120852,William Brown,85
9/27/19,CA-2019-120887,Thomas Seio,88
11/6/19,CA-2019-120950,George Ashbrook,44
11/10/19,CA-2019-121006,Sam Craven,1195
11/28/19,CA-2019-121167,Mary O'Rourke,17
11/4/19,CA-2019-121286,Odella Nelson,67
11/3/19,CA-2019-121573,Speros Goranitis,841
11/28/19,CA-2019-121629,Brian Thompson,999
5/6/19,CA-2019-121664,Harold Pawlan,141
8/19/19,CA-2019-121727,Jim Karlsson,11
2/15/19,CA-2019-121762,Marina Lichtenstein,561
4/8/19,CA-2019-121769,John Stevenson,172
4/22/19,CA-2019-122070,Aaron Hawkins,258
11/24/19,CA-2019-122217,Harold Pawlan,111
4/13/19,CA-2019-122336,Jonathan Doherty,631
2/17/19,CA-2019-122567,Michael Nguyen,9
11/25/19,CA-2019-122588,Andy Reiter,53
11/12/19,CA-2019-122609,Darren Powers,153
7/22/19,CA-2019-122679,Alejandro Ballentine,20
12/3/19,CA-2019-122749,Nathan Gelder,480
9/7/19,CA-2019-122882,Sean Braxton,539
9/29/19,CA-2019-122931,Suzanne McNair,2359
6/30/19,CA-2019-123064,Russell Applegate,5
9/8/19,CA-2019-123127,Stefania Perrino,17
7/11/19,CA-2019-123225,Michael Nguyen,586
8/22/19,CA-2019-123253,Deanra Eno,4
8/26/19,CA-2019-123260,Frank Merwin,177
7/18/19,CA-2019-123295,Adrian Hane,259
10/13/19,CA-2019-123316,Sibella Parks,8
11/7/19,CA-2019-123323,Lena Hernandez,123
9/24/19,CA-2019-123344,Julia Dunbar,212
2/3/19,CA-2019-123400,Eric Barreto,199
1/19/19,CA-2019-123477,David Wiener,65
11/7/19,CA-2019-123498,Tamara Chand,100
6/18/19,CA-2019-123855,Mick Crebagga,140
12/17/19,CA-2019-123925,Roy Franz�sisch,40
4/7/19,CA-2019-124023,Pauline Johnson,9
12/13/19,CA-2019-124079,Randy Ferguson,93
12/16/19,CA-2019-124247,Stefanie Holloman,1404
10/17/19,CA-2019-124394,Tracy Blumstein,131
5/27/19,CA-2019-124429,Maya Herman,926
7/14/19,CA-2019-124464,Shirley Schmidt,39
8/8/19,CA-2019-124478,Matt Abelman,1110
9/21/19,CA-2019-124513,Sara Luxemburg,66
5/2/19,CA-2019-124618,Cari Schnelling,480
6/22/19,CA-2019-124646,Dianna Vittorini,664
8/27/19,CA-2019-124688,Corey Catlett,1812
11/18/19,CA-2019-124702,Maya Herman,868
7/27/19,CA-2019-124709,Giulietta Weimer,238
8/5/19,CA-2019-124723,Gary Zandusky,489
11/26/19,CA-2019-124730,Lynn Smith,415
8/23/19,CA-2019-124737,Arthur Prichep,424
7/12/19,CA-2019-124807,Max Engle,60
9/29/19,CA-2019-124856,Lisa DeCherney,1609
9/28/19,CA-2019-125136,Keith Dawkins,107
5/16/19,CA-2019-125150,Pauline Webber,233
9/3/19,CA-2019-125171,Allen Goldenen,14
9/21/19,CA-2019-125514,Brian Moss,69
12/5/19,CA-2019-125542,Nona Balk,521
11/14/19,CA-2019-125556,Maris LaWare,877
8/3/19,CA-2019-125612,Berenike Kampe,164
11/22/19,CA-2019-125682,Robert Barroso,10
9/10/19,CA-2019-125731,Clay Ludtke,1509
2/9/19,CA-2019-125759,Nathan Mautz,15
11/4/19,CA-2019-125829,William Brown,1729
9/20/19,CA-2019-125997,Mitch Webber,3519
6/23/19,CA-2019-126032,Brian Stugart,86
9/7/19,CA-2019-126193,Shahid Shariari,322
8/25/19,CA-2019-126200,Joe Elijah,38
9/13/19,CA-2019-126277,Lena Hernandez,3
12/23/19,CA-2019-126333,Michelle Ellison,5
8/4/19,CA-2019-126361,Valerie Dominguez,2126
9/9/19,CA-2019-126403,Rick Reed,2304
9/20/19,CA-2019-126480,Henry Goldwyn,9
9/1/19,CA-2019-126522,Larry Tron,54
9/29/19,CA-2019-126683,Paul Prost,2355
7/26/19,CA-2019-126760,Kunst Miller,1891
12/29/19,CA-2019-126802,Zuschuss Carroll,39
11/1/19,CA-2019-126907,Suzanne McNair,16
6/15/19,CA-2019-126963,Pamela Stobb,37
8/11/19,CA-2019-127012,Greg Matthias,76
11/24/19,CA-2019-127131,Harold Ryan,721
5/12/19,CA-2019-127159,Hunter Lopez,35
5/21/19,CA-2019-127166,Katherine Hughes,187
12/4/19,CA-2019-127187,Cathy Prescott,130
9/19/19,CA-2019-127299,John Lee,2692
12/31/19,CA-2019-127383,Candace McMahon,50
11/25/19,CA-2019-127446,Matt Collister,1274
9/22/19,CA-2019-127488,Maribeth Schnelling,5
5/11/19,CA-2019-127523,Brooke Gillingham,36
11/15/19,CA-2019-127558,Shahid Shariari,803
9/26/19,CA-2019-127586,Christopher Schild,310
2/12/19,CA-2019-127614,Natalie Fritzler,1508
7/22/19,CA-2019-127691,Erin Mull,166
3/17/19,CA-2019-127859,Quincy Jones,127
7/20/19,CA-2019-127866,Jonathan Doherty,602
9/2/19,CA-2019-127936,Clay Ludtke,21
3/3/19,CA-2019-127964,Anne Pryor,161
3/31/19,CA-2019-128055,Alex Avila,727
11/19/19,CA-2019-128062,Alan Dominguez,6
6/21/19,CA-2019-128146,Dave Brooks,1327
11/17/19,CA-2019-128209,Greg Tran,6161
3/25/19,CA-2019-128237,Christina Anderson,92
11/11/19,CA-2019-128524,Mary Zewe,2159
10/11/19,CA-2019-128538,Alan Shonely,8
11/15/19,CA-2019-128622,Scott Cohen,11
9/8/19,CA-2019-128839,Ted Trevino,255
4/7/19,CA-2019-128846,Roland Schwarz,753
11/15/19,CA-2019-128888,Peter B�hler,605
8/3/19,CA-2019-128986,Gary Hansen,93
11/22/19,CA-2019-129091,Ruben Ausman,1023
11/2/19,CA-2019-129147,Liz Carlisle,609
8/17/19,CA-2019-129168,Ken Black,16
7/21/19,CA-2019-129189,Harry Marie,752
12/8/19,CA-2019-129364,Tim Brockman,266
5/26/19,CA-2019-129574,Dean percer,48
12/13/19,CA-2019-129819,Kimberly Carter,12
7/12/19,CA-2019-129924,Alyssa Crouse,706
12/15/19,CA-2019-129938,Ed Braxton,446
1/12/19,CA-2019-130092,Seth Vernon,10
5/19/19,CA-2019-130155,Tamara Dahlen,34
5/3/19,CA-2019-130274,Joni Sundaresam,22
3/3/19,CA-2019-130421,Sam Craven,177
3/31/19,CA-2019-130428,Trudy Glocke,1142
9/6/19,CA-2019-130449,Victoria Pisteka,100
12/14/19,CA-2019-130575,Cari Sayre,9
6/21/19,CA-2019-130624,Toby Braunhardt,697
5/20/19,CA-2019-130673,Matt Collister,108
10/24/19,CA-2019-130729,Allen Armold,34
1/7/19,CA-2019-130813,Lycoris Saunders,19
11/17/19,CA-2019-130869,Cassandra Brandow,7
8/22/19,CA-2019-130918,Jeremy Pistek,8
12/30/19,CA-2019-130960,Ken Brennan,10
9/7/19,CA-2019-131002,Tom Boeckenhauer,1040
3/1/19,CA-2019-131009,Shahid Collister,574
12/1/19,CA-2019-131051,Toby Ritter,58
3/30/19,CA-2019-131247,Guy Armstrong,206
7/12/19,CA-2019-131310,Clay Ludtke,134
4/28/19,CA-2019-131387,Arianne Irving,1680
8/8/19,CA-2019-131450,Lena Radford,2050
12/1/19,CA-2019-131527,Toby Braunhardt,96
7/28/19,CA-2019-131541,Chloris Kastensmidt,193
12/30/19,CA-2019-131800,Astrea Jones,158
2/7/19,CA-2019-131905,Neil Ducich,322
6/1/19,CA-2019-131926,Dianna Wilson,3746
9/17/19,CA-2019-131947,Joseph Airdo,318
10/13/19,CA-2019-132010,Michelle Arnett,390
11/4/19,CA-2019-132227,Sam Zeldin,52
9/26/19,CA-2019-132451,Karen Ferguson,605
9/8/19,CA-2019-132500,Gary Zandusky,50
10/6/19,CA-2019-132542,Alice McCarthy,15
6/9/19,CA-2019-132612,Frank Olsen,1441
9/19/19,CA-2019-132787,Mike Caudle,93
10/7/19,CA-2019-132801,John Grady,107
12/2/19,CA-2019-132864,Katherine Nockton,120
12/24/19,CA-2019-132913,Adam Shillingsburg,14
9/13/19,CA-2019-132962,Jessica Myrick,268
4/28/19,CA-2019-132983,David Smith,160
8/19/19,CA-2019-133158,David Wiener,359
4/4/19,CA-2019-133228,Maurice Satty,85
6/6/19,CA-2019-133270,Bryan Mills,13
7/11/19,CA-2019-133305,Mark Hamilton,67
2/23/19,CA-2019-133354,Sue Ann Reed,19
6/22/19,CA-2019-133389,Toby Braunhardt,8
3/30/19,CA-2019-133424,Dorris liebe,60
12/22/19,CA-2019-133543,Khloe Miller,12
12/31/19,CA-2019-133592,Katherine Murray,2846
11/5/19,CA-2019-133634,Steven Roelle,48
8/3/19,CA-2019-133690,Bruce Stewart,221
9/20/19,CA-2019-133704,Michelle Arnett,64
6/9/19,CA-2019-133753,Carl Weiss,142
11/18/19,CA-2019-133809,MaryBeth Skach,21
12/5/19,CA-2019-133830,Rob Lucas,91
6/9/19,CA-2019-133851,Chuck Magee,30
5/18/19,CA-2019-133963,George Ashbrook,4
4/29/19,CA-2019-134061,Lauren Leatherbury,17
1/31/19,CA-2019-134103,Mike Vittorini,241
8/4/19,CA-2019-134215,Marina Lichtenstein,617
7/6/19,CA-2019-134278,Emily Phan,560
11/1/19,CA-2019-134313,Russell Applegate,2027
12/20/19,CA-2019-134551,Tony Sayre,732
4/20/19,CA-2019-134572,Seth Vernon,1191
12/21/19,CA-2019-134621,Dennis Pardue,18
10/6/19,CA-2019-134677,Xylona Preis,9
11/2/19,CA-2019-134726,Steven Ward,95
11/22/19,CA-2019-135090,Susan Pistek,54
1/10/19,CA-2019-135405,Melanie Seite,41
12/8/19,CA-2019-135608,Jim Karlsson,650
6/3/19,CA-2019-135657,Steven Cartwright,516
8/29/19,CA-2019-135699,Hilary Holden,123
5/3/19,CA-2019-135755,Nathan Cano,51
5/28/19,CA-2019-135993,Patrick Jones,85
11/29/19,CA-2019-136280,Corey-Lock,5
4/21/19,CA-2019-136336,Dorothy Badders,829
12/16/19,CA-2019-136399,Chad Cunningham,1308
12/20/19,CA-2019-136567,Penelope Sewall,2884
6/16/19,CA-2019-136644,Sonia Cooley,648
4/6/19,CA-2019-136742,Guy Phonely,45
9/5/19,CA-2019-136861,Patrick Ryan,32
10/20/19,CA-2019-137092,Lindsay Shagiari,862
3/29/19,CA-2019-137274,Mike Gockenbach,891
9/30/19,CA-2019-137351,Doug Bickford,43
8/6/19,CA-2019-137575,Trudy Brown,200
11/3/19,CA-2019-137589,Maxwell Schwartz,286
10/9/19,CA-2019-137911,Bart Pistole,89
8/15/19,CA-2019-138023,Keith Herrera,31
12/30/19,CA-2019-138072,Guy Armstrong,28
9/15/19,CA-2019-138100,Alex Avila,30
12/9/19,CA-2019-138128,Frank Preis,1111
9/19/19,CA-2019-138177,Neil Ducich,74
7/18/19,CA-2019-138198,Jack Lebron,14
10/9/19,CA-2019-138240,Shirley Jackson,161
12/5/19,CA-2019-138296,Roy Collins,25
6/21/19,CA-2019-138317,Natalie Webber,385
4/1/19,CA-2019-138359,Katharine Harms,73
3/26/19,CA-2019-138436,Jonathan Doherty,66
10/18/19,CA-2019-138450,Edward Hooks,249
5/23/19,CA-2019-138513,Erica Hackney,13
9/12/19,CA-2019-138527,Brad Norvell,192
12/20/19,CA-2019-138681,Carol Triggs,597
7/4/19,CA-2019-138709,Maxwell Schwartz,37
12/7/19,CA-2019-138737,Frank Preis,9
4/11/19,CA-2019-138940,Gary Mitchum,758
5/11/19,CA-2019-139017,Raymond Messe,47
5/27/19,CA-2019-139192,Lena Creighton,1213
11/23/19,CA-2019-139283,Bobby Trafton,15
11/1/19,CA-2019-139423,Deirdre Greer,76
10/12/19,CA-2019-139451,Duane Noonan,36
10/25/19,CA-2019-139542,Evan Henry,54
12/26/19,CA-2019-139598,Maureen Gnade,362
12/17/19,CA-2019-139633,Erin Creighton,5
2/3/19,CA-2019-139857,Cynthia Delaney,12
9/8/19,CA-2019-139892,Becky Martin,10540
3/21/19,CA-2019-140004,Cassandra Brandow,13
9/8/19,CA-2019-140032,Toby Swindell,9
9/13/19,CA-2019-140039,Odella Nelson,79
5/13/19,CA-2019-140165,Erica Hernandez,405
4/28/19,CA-2019-140228,George Bell,212
11/20/19,CA-2019-140396,Katharine Harms,908
10/10/19,CA-2019-140403,Tanja Norvell,138
5/30/19,CA-2019-140473,Mark Cousins,720
6/14/19,CA-2019-140487,Sharelle Roach,213
11/17/19,CA-2019-140662,Thomas Seio,1075
11/11/19,CA-2019-140732,Matt Abelman,708
2/2/19,CA-2019-140795,Bradley Drucker,469
12/20/19,CA-2019-140816,Toby Carlisle,448
6/28/19,CA-2019-140858,Cynthia Arntzen,1640
9/30/19,CA-2019-140886,Kelly Williams,69
8/15/19,CA-2019-141005,Christine Sundaresam,63
11/26/19,CA-2019-141110,Luke Schmidt,67
9/16/19,CA-2019-141152,Randy Ferguson,34
11/18/19,CA-2019-141173,Julie Creighton,67
6/21/19,CA-2019-141278,Raymond Messe,21
6/3/19,CA-2019-141299,Ross Baird,15
12/28/19,CA-2019-141313,Anthony Jacobs,2583
9/25/19,CA-2019-141355,Barry Franz,15
12/12/19,CA-2019-141607,William Brown,43
9/30/19,CA-2019-141649,Dario Medina,795
7/20/19,CA-2019-141726,Charles Crestani,176
6/21/19,CA-2019-141796,James Galang,1215
1/6/19,CA-2019-141817,Mick Brown,20
3/26/19,CA-2019-141838,Damala Kotsonis,60
8/9/19,CA-2019-141901,Gene McClure,6
6/22/19,CA-2019-142048,Joel Eaton,197
12/23/19,CA-2019-142314,Sarah Foster,207
12/22/19,CA-2019-142510,Nora Preis,274
10/21/19,CA-2019-142587,Tracy Blumstein,531
4/29/19,CA-2019-142727,Harry Greene,70
9/13/19,CA-2019-142769,Resi P�lking,562
8/16/19,CA-2019-142839,Troy Staebel,853
10/8/19,CA-2019-142951,Jack Garza,23
7/20/19,CA-2019-142965,Scot Wooten,53
4/12/19,CA-2019-142979,Edward Hooks,40
10/18/19,CA-2019-143168,Ivan Gibson,63
10/15/19,CA-2019-143182,Dan Lawera,15
12/1/19,CA-2019-143210,Anna Andreadi,328
8/27/19,CA-2019-143336,Zuschuss Donatelli,245
12/28/19,CA-2019-143371,Maribeth Dona,1050
8/31/19,CA-2019-143385,Shirley Jackson,93
5/24/19,CA-2019-143413,Resi P�lking,116
3/24/19,CA-2019-143637,Maurice Satty,40
5/22/19,CA-2019-143840,Evan Henry,181
7/20/19,CA-2019-143903,Katherine Murray,1341
7/25/19,CA-2019-143917,Ken Lonsdale,8319
5/26/19,CA-2019-144029,Michelle Moray,476
12/8/19,CA-2019-144071,Denny Joy,119
6/10/19,CA-2019-144281,Heather Kirkland,492
9/9/19,CA-2019-144407,Maribeth Schnelling,104
6/17/19,CA-2019-144414,Gary Hwang,3291
11/19/19,CA-2019-144624,John Murray,4549
11/9/19,CA-2019-144666,Jeremy Pistek,1518
9/26/19,CA-2019-144974,Craig Molinari,69
9/13/19,CA-2019-145212,Dan Campbell,5
7/23/19,CA-2019-145254,Nick Crebassa,993
3/18/19,CA-2019-145317,Sean Miller,23661
10/31/19,CA-2019-145387,Anne McFarland,2117
12/14/19,CA-2019-145541,Tom Boeckenhauer,7000
9/14/19,CA-2019-145576,Cynthia Arntzen,26
5/30/19,CA-2019-145800,Shahid Shariari,355
11/17/19,CA-2019-145926,Mark Packer,480
